CH1_415,CH2_445,CH3_480,CH4_515,CH5_555,CH6_590,CH7_630,CH8_680,NIR,PPFD
46,151,59,186,113,59,692,832,63,30
47,154,61,191,115,59,702,843,64,30
47,155,61,192,115,60,700,841,63,30
47,154,60,190,113,59,692,832,63,30
45,150,59,186,112,58,679,814,62,30
55,172,70,225,130,68,823,1006,76,37
57,175,71,228,131,68,829,1014,77,37
56,173,70,226,131,68,827,1012,77,37
55,172,69,224,131,68,824,1006,75,37
56,174,70,227,131,68,824,1008,76,37
65,194,80,266,149,77,950,1182,88,44
64,194,80,264,150,78,953,1183,88,44
65,195,80,265,151,78,962,1196,90,44
64,194,80,265,151,78,959,1191,89,44
64,193,80,264,150,77,947,1175,88,44
74,218,92,313,171,88,1087,1367,103,51
75,220,93,316,171,87,1082,1361,102,51
73,217,92,312,171,87,1078,1356,101,51
74,218,93,315,171,88,1082,1362,102,51
72,213,90,306,169,87,1064,1340,100,51
81,235,102,357,188,94,1169,1491,112,59
82,237,103,361,190,96,1182,1508,113,59
80,233,101,354,189,95,1175,1499,112,59
81,234,102,355,189,96,1178,1504,112,59
80,233,101,354,187,95,1164,1485,111,59
88,254,112,399,206,103,1262,1628,122,66
87,252,111,395,207,103,1263,1628,122,66
88,254,112,400,210,104,1275,1644,123,66
87,251,111,394,205,102,1241,1600,120,66
86,250,110,392,204,102,1239,1597,120,66
88,258,115,420,217,106,1276,1651,125,71
89,260,115,422,213,104,1244,1606,122,71
91,264,117,425,213,104,1246,1612,122,71
89,258,115,418,212,103,1245,1611,121,71
89,261,116,422,209,102,1216,1570,119,71
91,271,121,442,220,106,1253,1629,124,75
92,271,121,441,218,105,1232,1599,121,75
92,272,121,445,219,105,1235,1597,121,75
89,265,118,436,218,105,1228,1593,121,75
90,268,119,437,218,105,1233,1596,121,75
100,306,138,525,248,114,1298,1697,131,89
99,304,136,516,247,114,1296,1695,131,89
99,303,137,521,247,114,1291,1689,131,89
97,299,135,508,242,112,1264,1654,128,89
98,302,136,511,245,113,1278,1673,129,89
112,345,166,664,290,126,1365,1827,143,116
115,363,173,688,299,128,1358,1822,144,116
116,365,175,698,298,127,1354,1823,144,116
115,362,173,692,300,128,1361,1835,145,116
115,362,173,692,302,129,1372,1851,147,116
157,555,229,823,343,146,1497,2093,166,147
156,549,227,815,337,143,1462,2051,163,147
157,553,229,822,344,147,1494,2098,166,147
156,553,229,821,338,144,1465,2059,163,147
152,538,223,802,343,146,1487,2091,165,147
208,786,265,786,345,159,1641,2384,183,147
205,775,263,788,341,159,1643,2393,182,147
205,774,262,786,343,159,1634,2380,183,147
204,770,262,786,340,157,1612,2347,179,147
203,771,259,774,343,158,1626,2368,180,147
239,908,289,808,358,171,1738,2575,194,156
235,888,286,809,356,168,1733,2579,194,156
231,873,284,807,357,169,1729,2572,194,156
226,848,279,803,351,165,1690,2512,190,156
226,849,279,798,353,165,1713,2549,191,156
196,673,283,965,402,175,1801,2723,206,174
196,673,283,964,405,176,1809,2739,208,174
198,678,285,972,409,179,1823,2760,209,174
204,706,289,970,403,175,1793,2719,206,174
201,695,286,965,406,177,1810,2742,208,174
299,1145,396,1130,457,199,1801,2863,221,211
287,1086,388,1141,460,198,1815,2917,224,211
291,1106,392,1141,460,198,1801,2894,222,211
276,1045,379,1123,463,199,1813,2920,224,211
276,1047,380,1125,459,196,1801,2908,223,211
370,1435,474,1225,508,224,1943,3310,250,235
366,1424,471,1213,501,220,1892,3262,245,235
368,1435,475,1221,507,223,1913,3317,248,235
364,1423,471,1209,507,222,1913,3321,249,235
368,1435,475,1220,504,221,1896,3296,247,235
369,1435,476,1204,508,225,1943,3441,254,236
373,1450,481,1217,517,228,1980,3511,258,236
375,1456,484,1222,506,223,1933,3429,253,236
380,1476,489,1237,516,228,1974,3502,257,236
368,1432,475,1200,512,226,1953,3473,255,236
370,1442,478,1207,514,227,1959,3488,256,236
375,1460,484,1223,511,226,1944,3467,255,236
368,1434,477,1201,510,226,1940,3463,254,236
371,1446,480,1212,514,227,1955,3493,255,236
368,1433,475,1199,510,225,1938,3460,254,236
376,1462,486,1225,515,227,1957,3502,257,236
371,1444,479,1207,508,224,1925,3450,253,236
370,1442,478,1205,506,223,1919,3438,252,236
370,1443,479,1207,508,224,1930,3459,254,236
370,1440,478,1203,513,226,1944,3484,255,236
371,1445,480,1207,511,226,1938,3478,255,236
377,1464,487,1226,516,227,1959,3517,257,236
369,1440,478,1203,508,224,1923,3455,252,236
369,1437,477,1201,512,226,1944,3493,256,236
372,1447,480,1211,511,226,1937,3481,255,236
